Customer Key-Name,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000JON,YANG,08-04-1966,M,M,jon24@learnsector.com,90000,2,Bachelors,Professional,Y
11001EUGENE,HUANG,14-05-1965,S,M,eugene10@learnsector.com,60000,3,Bachelors,Professional,N
11002RUBEN,TORRES,12-08-1965,M,M,ruben35@learnsector.com,60000,3,Bachelors,Professional,Y
11003CHRISTY,ZHU,15-02-1968,S,F,christy12@learnsector.com,70000,0,Bachelors,Professional,N
11004ELIZABETH,JOHNSON,08-08-1968,S,F,elizabeth5@learnsector.com,80000,5,Bachelors,Professional,Y
11005JULIO,RUIZ,05-08-1965,S,M,julio1@learnsector.com,70000,0,Bachelors,Professional,Y
11007MARCO,MEHTA,09-05-1964,M,M,marco14@learnsector.com,60000,3,Bachelors,Professional,Y
11008ROBIN,VERHOFF,07-07-1964,S,F,rob4@learnsector.com,60000,4,Bachelors,Professional,Y
11009SHANNON,CARLSON,01-04-1964,S,M,shannon38@learnsector.com,70000,0,Bachelors,Professional,N
11010JACQUELYN,SUAREZ,06-02-1964,S,F,jacquelyn20@learnsector.com,70000,0,Bachelors,Professional,N
11011CURTIS,LU,04-11-1963,M,M,curtis9@learnsector.com,60000,4,Bachelors,Professional,Y
11012LAUREN,WALKER,18-01-1968,M,F,lauren41@learnsector.com,100000,2,Bachelors,Management,Y
11013IAN,JENKINS,06-08-1968,M,M,ian47@learnsector.com,100000,2,Bachelors,Management,Y
11014SYDNEY,BENNETT,09-05-1968,S,F,sydney23@learnsector.com,100000,3,Bachelors,Management,N
11015CHLOE,YOUNG,27-02-1979,S,F,chloe23@learnsector.com,30000,0,Partial College,Skilled Manual,N
11016WYATT,HILL,28-04-1979,M,M,wyatt32@learnsector.com,30000,0,Partial College,Skilled Manual,Y
11017SHANNON,WANG,26-06-1944,S,F,shannon1@learnsector.com,20000,4,High School,Skilled Manual,Y
11018CLARENCE,RAI,09-10-1944,S,M,clarence32@learnsector.com,30000,2,Partial College,Clerical,Y
11019LUKE,LAL,07-03-1978,S,M,luke18@learnsector.com,40000,0,High School,Skilled Manual,N
11020JORDAN,KING,20-09-1978,S,M,jordan73@learnsector.com,40000,0,High School,Skilled Manual,N
11021DESTINY,WILSON,03-09-1978,S,F,destiny7@learnsector.com,40000,0,Partial College,Skilled Manual,N
11022ETHAN,ZHANG,12-10-1978,M,M,ethan20@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11023SETH,EDWARDS,11-10-1978,M,M,seth46@learnsector.com,40000,0,Partial College,Skilled Manual,Y
11024RUSSELL,XIE,17-09-1978,M,M,russell7@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11025ALEJANDRO,BECK,23-12-1945,M,NA,alejandro45@learnsector.com,10000,2,Partial High School,Clerical,Y
11026HAROLD,SAI,03-04-1946,S,M,harold3@learnsector.com,30000,2,Partial College,Clerical,N
11027JESSIE,ZHAO,07-12-1946,M,M,jessie16@learnsector.com,30000,2,Partial College,Clerical,Y
11028JILL,JIMENEZ,11-04-1946,M,F,jill13@learnsector.com,30000,2,Partial College,Clerical,Y
11029JIMMY,MORENO,21-12-1946,M,M,jimmy9@learnsector.com,30000,2,Partial College,Clerical,Y
11030BETHANY,YUAN,22-02-1947,M,F,bethany10@learnsector.com,10000,2,Partial High School,Clerical,Y
11031THERESA,RAMOS,22-08-1947,M,F,theresa13@learnsector.com,20000,4,High School,Skilled Manual,Y
11032DENISE,STONE,11-06-1947,M,F,denise10@learnsector.com,20000,4,High School,Skilled Manual,Y
11033JAIME,NATH,23-09-1947,M,M,jaime41@learnsector.com,20000,4,High School,Skilled Manual,Y
11034EBONY,GONZALEZ,19-06-1947,M,F,ebony19@learnsector.com,20000,4,High School,Skilled Manual,Y
11035WENDY,DOMINGUEZ,24-02-1948,M,NA,wendy12@learnsector.com,10000,2,Partial High School,Clerical,Y
11036JENNIFER,RUSSELL,18-12-1978,M,F,jennifer93@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11037CHLOE,GARCIA,27-11-1977,S,F,chloe27@learnsector.com,40000,0,Partial High School,Clerical,N
11038DIANA,HERNANDEZ,23-03-1948,M,F,diana2@learnsector.com,10000,2,Partial High School,Clerical,Y
11039MARC,MARTIN,17-12-1948,M,M,marc3@learnsector.com,30000,3,Partial College,Clerical,Y
11040JESSE,MURPHY,01-08-1977,M,M,jesse15@learnsector.com,30000,0,Partial College,Skilled Manual,Y
11041AMANDA,CARTER,16-10-1977,M,F,amanda53@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11042MEGAN,SANCHEZ,13-06-1977,M,F,megan28@learnsector.com,70000,0,Partial College,Skilled Manual,Y
11043NATHAN,SIMMONS,24-02-1976,M,M,nathan11@learnsector.com,60000,0,Partial College,Skilled Manual,Y
11044ADAM,FLORES,24-05-1949,M,M,adam10@learnsector.com,20000,2,Partial High School,Clerical,Y
11045LEONARD,NARA,19-05-1950,S,M,leonard18@learnsector.com,30000,3,High School,Skilled Manual,N
11046CHRISTINE,YUAN,22-03-1950,M,F,christine4@learnsector.com,30000,3,High School,Skilled Manual,Y
11047JACLYN,LU,27-02-1950,M,F,jaclyn12@learnsector.com,30000,3,High School,Skilled Manual,N
11048JEREMY,POWELL,22-11-1950,M,M,jeremy26@learnsector.com,30000,3,High School,Skilled Manual,Y
11049CAROL,RAI,18-07-1980,S,F,carol8@learnsector.com,40000,0,Partial High School,Clerical,Y
11050ALAN,ZHENG,07-09-1951,M,M,alan23@learnsector.com,30000,3,High School,Skilled Manual,Y
11051DANIEL,JOHNSON,04-08-1951,S,M,daniel18@learnsector.com,30000,3,High School,Skilled Manual,N
11052HEIDI,LOPEZ,07-08-1951,S,F,heidi19@learnsector.com,40000,2,Partial College,Clerical,N
